11:23:31 | STAGE II | fixed network | checkpoint=../stageI/output_stage1/20260916_105526_866421/trained_growth_gnn.pt | epoch=300
11:23:31 | Compositions=29 | samples/composition=100 | temperature=1.0 | seed=25680
11:23:31 | New candidates satisfy the requested formula and construction masks; they are not confirmed stable or chemically important species.
11:23:31 | C,H,O=(0, 2, 0) | reference=56 | candidate samples=0 | wrong formula=44 | step limit=0 | unique=1
11:23:31 | C,H,O=(0, 0, 2) | reference=69 | candidate samples=0 | wrong formula=31 | step limit=0 | unique=1
11:23:31 | C,H,O=(0, 1, 0) | reference=53 | candidate samples=0 | wrong formula=47 | step limit=0 | unique=1
11:23:31 | C,H,O=(0, 0, 1) | reference=66 | candidate samples=0 | wrong formula=34 | step limit=0 | unique=1
11:23:31 | C,H,O=(0, 1, 1) | reference=62 | candidate samples=0 | wrong formula=38 | step limit=0 | unique=1
11:23:31 | C,H,O=(0, 2, 1) | reference=63 | candidate samples=0 | wrong formula=37 | step limit=0 | unique=1
11:23:31 | C,H,O=(0, 1, 2) | reference=44 | candidate samples=0 | wrong formula=56 | step limit=0 | unique=1
11:23:31 | C,H,O=(0, 2, 2) | reference=81 | candidate samples=0 | wrong formula=19 | step limit=0 | unique=1
11:23:31 | C,H,O=(1, 0, 2) | reference=58 | candidate samples=1 | wrong formula=41 | step limit=0 | unique=2
11:23:31 | C,H,O=(1, 1, 1) | reference=57 | candidate samples=2 | wrong formula=41 | step limit=0 | unique=3
11:23:31 | C,H,O=(1, 2, 1) | reference=40 | candidate samples=1 | wrong formula=59 | step limit=0 | unique=2
11:23:31 | C,H,O=(1, 4, 0) | reference=79 | candidate samples=0 | wrong formula=21 | step limit=0 | unique=1
11:23:31 | C,H,O=(1, 3, 0) | reference=75 | candidate samples=0 | wrong formula=25 | step limit=0 | unique=1
11:23:31 | C,H,O=(1, 3, 2) | reference=57 | candidate samples=1 | wrong formula=42 | step limit=0 | unique=2
11:23:31 | C,H,O=(1, 2, 0) | reference=58 | candidate samples=0 | wrong formula=42 | step limit=0 | unique=1
11:23:31 | C,H,O=(1, 1, 0) | reference=45 | candidate samples=0 | wrong formula=55 | step limit=0 | unique=1
11:23:31 | C,H,O=(1, 0, 0) | reference=63 | candidate samples=0 | wrong formula=37 | step limit=0 | unique=1
11:23:31 | C,H,O=(1, 3, 1) | reference=64 | candidate samples=0 | wrong formula=36 | step limit=0 | unique=2
11:23:32 | C,H,O=(1, 4, 1) | reference=74 | candidate samples=0 | wrong formula=26 | step limit=0 | unique=1
11:23:32 | C,H,O=(2, 6, 0) | reference=85 | candidate samples=0 | wrong formula=15 | step limit=0 | unique=1
11:23:32 | C,H,O=(2, 5, 0) | reference=73 | candidate samples=0 | wrong formula=27 | step limit=0 | unique=1
11:23:32 | C,H,O=(2, 4, 0) | reference=21 | candidate samples=3 | wrong formula=76 | step limit=0 | unique=3
11:23:32 | C,H,O=(2, 3, 0) | reference=38 | candidate samples=0 | wrong formula=62 | step limit=0 | unique=1
11:23:32 | C,H,O=(2, 2, 0) | reference=39 | candidate samples=0 | wrong formula=61 | step limit=0 | unique=1
11:23:32 | C,H,O=(2, 1, 0) | reference=69 | candidate samples=0 | wrong formula=31 | step limit=0 | unique=1
11:23:32 | C,H,O=(2, 1, 1) | reference=46 | candidate samples=0 | wrong formula=54 | step limit=0 | unique=1
11:23:32 | C,H,O=(2, 2, 1) | reference=40 | candidate samples=0 | wrong formula=60 | step limit=0 | unique=1
11:23:32 | C,H,O=(2, 3, 1) | reference=38 | candidate samples=0 | wrong formula=62 | step limit=0 | unique=2
11:23:32 | C,H,O=(2, 4, 1) | reference=49 | candidate samples=0 | wrong formula=51 | step limit=0 | unique=1
11:23:32 | FINISHED | attempts=2900 | reference structures=31 | new candidate structures=7 | elapsed=1.2s
11:23:32 | Saved exploration outputs: output_stage2/exploration_III/runs/run_002
