11:23:40 | STAGE II | fixed network | checkpoint=../stageI/output_stage1/20260916_105526_866421/trained_growth_gnn.pt | epoch=300
11:23:40 | Compositions=29 | samples/composition=100 | temperature=1.0 | seed=32680
11:23:40 | New candidates satisfy the requested formula and construction masks; they are not confirmed stable or chemically important species.
11:23:40 | C,H,O=(0, 2, 0) | reference=64 | candidate samples=0 | wrong formula=36 | step limit=0 | unique=1
11:23:40 | C,H,O=(0, 0, 2) | reference=63 | candidate samples=0 | wrong formula=37 | step limit=0 | unique=1
11:23:40 | C,H,O=(0, 1, 0) | reference=44 | candidate samples=0 | wrong formula=56 | step limit=0 | unique=1
11:23:40 | C,H,O=(0, 0, 1) | reference=65 | candidate samples=0 | wrong formula=35 | step limit=0 | unique=1
11:23:40 | C,H,O=(0, 1, 1) | reference=57 | candidate samples=0 | wrong formula=43 | step limit=0 | unique=1
11:23:40 | C,H,O=(0, 2, 1) | reference=66 | candidate samples=0 | wrong formula=34 | step limit=0 | unique=1
11:23:40 | C,H,O=(0, 1, 2) | reference=47 | candidate samples=0 | wrong formula=53 | step limit=0 | unique=1
11:23:41 | C,H,O=(0, 2, 2) | reference=69 | candidate samples=0 | wrong formula=31 | step limit=0 | unique=1
11:23:41 | C,H,O=(1, 0, 2) | reference=77 | candidate samples=0 | wrong formula=23 | step limit=0 | unique=1
11:23:41 | C,H,O=(1, 1, 1) | reference=60 | candidate samples=0 | wrong formula=40 | step limit=0 | unique=1
11:23:41 | C,H,O=(1, 2, 1) | reference=37 | candidate samples=2 | wrong formula=61 | step limit=0 | unique=2
11:23:41 | C,H,O=(1, 4, 0) | reference=81 | candidate samples=0 | wrong formula=19 | step limit=0 | unique=1
11:23:41 | C,H,O=(1, 3, 0) | reference=68 | candidate samples=0 | wrong formula=32 | step limit=0 | unique=1
11:23:41 | C,H,O=(1, 3, 2) | reference=47 | candidate samples=3 | wrong formula=50 | step limit=0 | unique=2
11:23:41 | C,H,O=(1, 2, 0) | reference=53 | candidate samples=0 | wrong formula=47 | step limit=0 | unique=1
11:23:41 | C,H,O=(1, 1, 0) | reference=55 | candidate samples=0 | wrong formula=45 | step limit=0 | unique=1
11:23:41 | C,H,O=(1, 0, 0) | reference=64 | candidate samples=0 | wrong formula=36 | step limit=0 | unique=1
11:23:41 | C,H,O=(1, 3, 1) | reference=59 | candidate samples=0 | wrong formula=41 | step limit=0 | unique=2
11:23:41 | C,H,O=(1, 4, 1) | reference=72 | candidate samples=0 | wrong formula=28 | step limit=0 | unique=1
11:23:41 | C,H,O=(2, 6, 0) | reference=88 | candidate samples=0 | wrong formula=12 | step limit=0 | unique=1
11:23:41 | C,H,O=(2, 5, 0) | reference=79 | candidate samples=0 | wrong formula=21 | step limit=0 | unique=1
11:23:41 | C,H,O=(2, 4, 0) | reference=17 | candidate samples=2 | wrong formula=81 | step limit=0 | unique=2
11:23:41 | C,H,O=(2, 3, 0) | reference=39 | candidate samples=0 | wrong formula=61 | step limit=0 | unique=1
11:23:41 | C,H,O=(2, 2, 0) | reference=45 | candidate samples=1 | wrong formula=54 | step limit=0 | unique=2
11:23:41 | C,H,O=(2, 1, 0) | reference=56 | candidate samples=0 | wrong formula=44 | step limit=0 | unique=1
11:23:41 | C,H,O=(2, 1, 1) | reference=43 | candidate samples=0 | wrong formula=57 | step limit=0 | unique=1
11:23:41 | C,H,O=(2, 2, 1) | reference=40 | candidate samples=0 | wrong formula=60 | step limit=0 | unique=1
11:23:41 | C,H,O=(2, 3, 1) | reference=37 | candidate samples=0 | wrong formula=63 | step limit=0 | unique=2
11:23:41 | C,H,O=(2, 4, 1) | reference=43 | candidate samples=0 | wrong formula=57 | step limit=0 | unique=1
11:23:42 | FINISHED | attempts=2900 | reference structures=31 | new candidate structures=4 | elapsed=1.2s
11:23:42 | Saved exploration outputs: output_stage2/exploration_III/runs/run_009
