source,degeneracy_id,formula,is_ring,used_in_objective,log_P_exist,P_exist,individual_loss,C#C,C-C,C-O,C=C,C=O
positive,C10H19O_001,C10H19O,False,True,-0.43145527737142353,0.6495631120583962,0.12280601243019616,0,9,0,0,1
positive,C10H19_001,C10H19,False,True,-0.39155182563463037,0.6760070150942696,0.10497145426812482,0,8,0,1,0
positive,C10H20O3_001,C10H20O3,False,True,-0.4758197409513008,0.6213754807058277,0.14335652661074305,0,9,1,0,1
positive,C10H20O_001,C10H20O,False,True,-0.43145527737142353,0.6495631120583962,0.12280601243019616,0,9,0,0,1
positive,C10H20O_002,C10H20O,True,True,-0.498134496013833,0.6076632011278753,0.15392816374922602,0,9,2,0,0
positive,C10H20_001,C10H20,False,True,-0.39155182563463037,0.6760070150942696,0.10497145426812482,0,8,0,1,0
positive,C10H21O2_001,C10H21O2,False,True,-0.45377003243395575,0.6352287984708178,0.13305802946504325,0,9,1,0,0
positive,C10H21O2_002,C10H21O2,False,True,-0.45377003243395575,0.6352287984708178,0.13305802946504325,0,9,1,0,0
positive,C10H21O4_001,C10H21O4,False,True,-0.498134496013833,0.6076632011278753,0.15392816374922602,0,9,2,0,0
positive,C10H21O_001,C10H21O,False,True,-0.45377003243395575,0.6352287984708178,0.13305802946504325,0,9,1,0,0
positive,C10H21_001,C10H21,False,True,-0.40940556885407847,0.6640448617881076,0.11286585489097171,0,9,0,0,0
positive,C10H22O2_001,C10H22O2,False,True,-0.45377003243395575,0.6352287984708178,0.13305802946504325,0,9,1,0,0
positive,C10H22_001,C10H22,False,True,-0.40940556885407847,0.6640448617881076,0.11286585489097171,0,9,0,0,0
positive,C11H21O_001,C11H21O,False,True,-0.47694478502187676,0.6206767990032065,0.1438860908144538,0,10,0,0,1
positive,C11H21_001,C11H21,False,True,-0.43704133328508354,0.6459447318410885,0.12535513291107875,0,9,0,1,0
positive,C11H22O3_001,C11H22O3,False,True,-0.521309248601754,0.5937426820950688,0.16504500835130836,0,10,1,0,1
positive,C11H22O_001,C11H22O,False,True,-0.47694478502187676,0.6206767990032065,0.1438860908144538,0,10,0,0,1
positive,C11H22O_002,C11H22O,True,True,-0.5436240036642862,0.5806401926872106,0.1758626479894199,0,10,2,0,0
positive,C11H22_001,C11H22,False,True,-0.43704133328508354,0.6459447318410885,0.12535513291107875,0,9,0,1,0
positive,C11H23O2_001,C11H23O2,False,True,-0.4992595400844089,0.6069799376693591,0.15446476939438086,0,10,1,0,0
positive,C11H23O2_002,C11H23O2,False,True,-0.4992595400844089,0.6069799376693591,0.15446476939438086,0,10,1,0,0
positive,C11H23O4_001,C11H23O4,False,True,-0.5436240036642862,0.5806401926872106,0.1758626479894199,0,10,2,0,0
positive,C11H23O_001,C11H23O,False,True,-0.4992595400844089,0.6069799376693591,0.15446476939438086,0,10,1,0,0
positive,C11H23_001,C11H23,False,True,-0.45489507650453165,0.63451453993914,0.1335796215158985,0,10,0,0,0
positive,C11H24O2_001,C11H24O2,False,True,-0.4992595400844089,0.6069799376693591,0.15446476939438086,0,10,1,0,0
positive,C11H24_001,C11H24,False,True,-0.45489507650453165,0.63451453993914,0.1335796215158985,0,10,0,0,0
positive,C12H23O_001,C12H23O,False,True,-0.5224342926723299,0.593075071027484,0.16558789781928718,0,11,0,0,1
positive,C12H23_001,C12H23,False,True,-0.4825308409355367,0.6172193294992221,0.1465210417090251,0,10,0,1,0
positive,C12H24O3_001,C12H24O3,False,True,-0.5667987562522071,0.5673387243104645,0.18719577948129623,0,11,1,0,1
positive,C12H24O_001,C12H24O,False,True,-0.5224342926723299,0.593075071027484,0.16558789781928718,0,11,0,0,1
positive,C12H24O_002,C12H24O,True,True,-0.5891135113147393,0.5548189074771592,0.19818620513983012,0,11,2,0,0
positive,C12H24_001,C12H24,False,True,-0.4825308409355367,0.6172193294992221,0.1465210417090251,0,10,0,1,0
positive,C12H25O2_001,C12H25O2,False,True,-0.544749047734862,0.579987314208684,0.17641065622563476,0,11,1,0,0
positive,C12H25O2_002,C12H25O2,False,True,-0.544749047734862,0.579987314208684,0.17641065622563476,0,11,1,0,0
