11:23:36 | STAGE II | fixed network | checkpoint=../stageI/output_stage1/20260916_105526_866421/trained_growth_gnn.pt | epoch=300
11:23:36 | Compositions=29 | samples/composition=100 | temperature=1.0 | seed=29680
11:23:36 | New candidates satisfy the requested formula and construction masks; they are not confirmed stable or chemically important species.
11:23:36 | C,H,O=(0, 2, 0) | reference=52 | candidate samples=0 | wrong formula=48 | step limit=0 | unique=1
11:23:36 | C,H,O=(0, 0, 2) | reference=59 | candidate samples=0 | wrong formula=41 | step limit=0 | unique=1
11:23:36 | C,H,O=(0, 1, 0) | reference=53 | candidate samples=0 | wrong formula=47 | step limit=0 | unique=1
11:23:36 | C,H,O=(0, 0, 1) | reference=61 | candidate samples=0 | wrong formula=39 | step limit=0 | unique=1
11:23:36 | C,H,O=(0, 1, 1) | reference=50 | candidate samples=0 | wrong formula=50 | step limit=0 | unique=1
11:23:36 | C,H,O=(0, 2, 1) | reference=71 | candidate samples=0 | wrong formula=29 | step limit=0 | unique=1
11:23:36 | C,H,O=(0, 1, 2) | reference=43 | candidate samples=0 | wrong formula=57 | step limit=0 | unique=1
11:23:36 | C,H,O=(0, 2, 2) | reference=83 | candidate samples=0 | wrong formula=17 | step limit=0 | unique=1
11:23:36 | C,H,O=(1, 0, 2) | reference=72 | candidate samples=0 | wrong formula=28 | step limit=0 | unique=1
11:23:37 | C,H,O=(1, 1, 1) | reference=45 | candidate samples=1 | wrong formula=54 | step limit=0 | unique=2
11:23:37 | C,H,O=(1, 2, 1) | reference=44 | candidate samples=1 | wrong formula=55 | step limit=0 | unique=2
11:23:37 | C,H,O=(1, 4, 0) | reference=83 | candidate samples=0 | wrong formula=17 | step limit=0 | unique=1
11:23:37 | C,H,O=(1, 3, 0) | reference=66 | candidate samples=0 | wrong formula=34 | step limit=0 | unique=1
11:23:37 | C,H,O=(1, 3, 2) | reference=63 | candidate samples=1 | wrong formula=36 | step limit=0 | unique=2
11:23:37 | C,H,O=(1, 2, 0) | reference=61 | candidate samples=0 | wrong formula=39 | step limit=0 | unique=1
11:23:37 | C,H,O=(1, 1, 0) | reference=41 | candidate samples=0 | wrong formula=59 | step limit=0 | unique=1
11:23:37 | C,H,O=(1, 0, 0) | reference=55 | candidate samples=0 | wrong formula=45 | step limit=0 | unique=1
11:23:37 | C,H,O=(1, 3, 1) | reference=54 | candidate samples=0 | wrong formula=46 | step limit=0 | unique=2
11:23:37 | C,H,O=(1, 4, 1) | reference=78 | candidate samples=0 | wrong formula=22 | step limit=0 | unique=1
11:23:37 | C,H,O=(2, 6, 0) | reference=88 | candidate samples=0 | wrong formula=12 | step limit=0 | unique=1
11:23:37 | C,H,O=(2, 5, 0) | reference=68 | candidate samples=0 | wrong formula=32 | step limit=0 | unique=1
11:23:37 | C,H,O=(2, 4, 0) | reference=31 | candidate samples=1 | wrong formula=68 | step limit=0 | unique=2
11:23:37 | C,H,O=(2, 3, 0) | reference=39 | candidate samples=0 | wrong formula=61 | step limit=0 | unique=1
11:23:37 | C,H,O=(2, 2, 0) | reference=39 | candidate samples=0 | wrong formula=61 | step limit=0 | unique=1
11:23:37 | C,H,O=(2, 1, 0) | reference=60 | candidate samples=0 | wrong formula=40 | step limit=0 | unique=1
11:23:37 | C,H,O=(2, 1, 1) | reference=44 | candidate samples=0 | wrong formula=56 | step limit=0 | unique=1
11:23:37 | C,H,O=(2, 2, 1) | reference=45 | candidate samples=1 | wrong formula=54 | step limit=0 | unique=2
11:23:37 | C,H,O=(2, 3, 1) | reference=47 | candidate samples=0 | wrong formula=53 | step limit=0 | unique=2
11:23:37 | C,H,O=(2, 4, 1) | reference=42 | candidate samples=0 | wrong formula=58 | step limit=0 | unique=1
11:23:38 | FINISHED | attempts=2900 | reference structures=31 | new candidate structures=5 | elapsed=1.2s
11:23:38 | Saved exploration outputs: output_stage2/exploration_III/runs/run_006
