source,degeneracy_id,formula,is_ring,used_in_objective,log_P_exist,P_exist,individual_loss,C#C,C-C,C-O,C=C,C=O
positive,C10H19O_001,C10H19O,False,True,-0.4314552754601787,0.6495631132998704,0.12280601156007949,0,9,0,0,1
positive,C10H19_001,C10H19,False,True,-0.39155182392415355,0.6760070162505639,0.10497145351886235,0,8,0,1,0
positive,C10H20O3_001,C10H20O3,False,True,-0.4758197388742154,0.6213754819964776,0.14335652563339962,0,9,1,0,1
positive,C10H20O_001,C10H20O,False,True,-0.4314552754601787,0.6495631132998704,0.12280601156007949,0,9,0,0,1
positive,C10H20O_002,C10H20O,True,True,-0.49813449491362727,0.6076632017964297,0.15392816322462902,0,9,2,0,0
positive,C10H20_001,C10H20,False,True,-0.39155182392415355,0.6760070162505639,0.10497145351886235,0,8,0,1,0
positive,C10H21O2_001,C10H21O2,False,True,-0.45377003149959055,0.6352287990643536,0.13305802903203373,0,9,1,0,0
positive,C10H21O2_002,C10H21O2,False,True,-0.45377003149959055,0.6352287990643536,0.13305802903203373,0,9,1,0,0
positive,C10H21O4_001,C10H21O4,False,True,-0.49813449491362727,0.6076632017964297,0.15392816322462902,0,9,2,0,0
positive,C10H21O_001,C10H21O,False,True,-0.45377003149959055,0.6352287990643536,0.13305802903203373,0,9,1,0,0
positive,C10H21_001,C10H21,False,True,-0.40940556808555384,0.6640448622984424,0.11286585454807253,0,9,0,0,0
positive,C10H22O2_001,C10H22O2,False,True,-0.45377003149959055,0.6352287990643536,0.13305802903203373,0,9,1,0,0
positive,C10H22_001,C10H22,False,True,-0.40940556808555384,0.6640448622984424,0.11286585454807253,0,9,0,0,0
positive,C11H21O_001,C11H21O,False,True,-0.47694478302524024,0.6206768002424725,0.1438860898742891,0,10,0,0,1
positive,C11H21_001,C11H21,False,True,-0.4370413314892151,0.6459447330011202,0.12535513208964805,0,9,0,1,0
positive,C11H22O3_001,C11H22O3,False,True,-0.521309246439277,0.5937426833790236,0.16504500730807628,0,10,1,0,1
positive,C11H22O_001,C11H22O,False,True,-0.47694478302524024,0.6206768002424725,0.1438860898742891,0,10,0,0,1
positive,C11H22O_002,C11H22O,True,True,-0.5436240024786888,0.580640193375616,0.17586264741204075,0,10,2,0,0
positive,C11H22_001,C11H22,False,True,-0.4370413314892151,0.6459447330011202,0.12535513208964805,0,9,0,1,0
positive,C11H23O2_001,C11H23O2,False,True,-0.4992595390646521,0.606979938288331,0.15446476890784414,0,10,1,0,0
positive,C11H23O2_002,C11H23O2,False,True,-0.4992595390646521,0.606979938288331,0.15446476890784414,0,10,1,0,0
positive,C11H23O4_001,C11H23O4,False,True,-0.5436240024786888,0.580640193375616,0.17586264741204075,0,10,2,0,0
positive,C11H23O_001,C11H23O,False,True,-0.4992595390646521,0.606979938288331,0.15446476890784414,0,10,1,0,0
positive,C11H23_001,C11H23,False,True,-0.4548950756506154,0.6345145404809623,0.13357962111984212,0,10,0,0,0
positive,C11H24O2_001,C11H24O2,False,True,-0.4992595390646521,0.606979938288331,0.15446476890784414,0,10,1,0,0
positive,C11H24_001,C11H24,False,True,-0.4548950756506154,0.6345145404809623,0.13357962111984212,0,10,0,0,0
positive,C12H23O_001,C12H23O,False,True,-0.5224342905903018,0.593075072262283,0.16558789681434624,0,11,0,0,1
positive,C12H23_001,C12H23,False,True,-0.48253083905427663,0.6172193306603723,0.14652104082009343,0,10,0,1,0
positive,C12H24O3_001,C12H24O3,False,True,-0.5667987540043385,0.5673387255857674,0.18719577837774792,0,11,1,0,1
positive,C12H24O_001,C12H24O,False,True,-0.5224342905903018,0.593075072262283,0.16558789681434624,0,11,0,0,1
positive,C12H24O_002,C12H24O,True,True,-0.5891135100437503,0.5548189081823279,0.19818620451197458,0,11,2,0,0
positive,C12H24_001,C12H24,False,True,-0.48253083905427663,0.6172193306603723,0.14652104082009343,0,10,0,1,0
positive,C12H25O2_001,C12H25O2,False,True,-0.5447490466297137,0.579987314849656,0.17641065568720196,0,11,1,0,0
positive,C12H25O2_002,C12H25O2,False,True,-0.5447490466297137,0.579987314849656,0.17641065568720196,0,11,1,0,0
positive,C12H25O4_001,C12H25O4,False,True,-0.5891135100437503,0.5548189081823279,0.19818620451197458,0,11,2,0,0
positive,C12H25O_001,C12H25O,False,True,-0.5447490466297137,0.579987314849656,0.17641065568720196,0,11,1,0,0
positive,C12H25_001,C12H25,False,True,-0.5003845832156769,0.6062974430495961,0.15500170334928604,0,11,0,0,0
positive,C12H26O2_001,C12H26O2,False,True,-0.5447490466297137,0.579987314849656,0.17641065568720196,0,11,1,0,0
positive,C12H26_001,C12H26,False,True,-0.5003845832156769,0.6062974430495961,0.15500170334928604,0,11,0,0,0
positive,C13H25O_001,C13H25O,False,True,-0.5679237981553633,0.5667008033835046,0.18774819378850036,0,12,0,0,1
positive,C13H25_001,C13H25,False,True,-0.5280203466193382,0.589771357637461,0.1682875390146119,0,11,0,1,0
positive,C13H26O3_001,C13H26O3,False,True,-0.6122882615694001,0.5421089616085601,0.20966420303919103,0,12,1,0,1
positive,C13H26O_001,C13H26O,False,True,-0.5679237981553633,0.5667008033835046,0.18774819378850036,0,12,0,0,1
positive,C13H26O_002,C13H26O,True,True,-0.6346030176088119,0.5301459051380191,0.22076287045857138,0,12,2,0,0
positive,C13H26_001,C13H26,False,True,-0.5280203466193382,0.589771357637461,0.1682875390146119,0,11,0,1,0
positive,C13H27O2_001,C13H27O2,False,True,-0.5902385541947752,0.5541950634070585,0.1987420414906366,0,12,1,0,0
positive,C13H27O2_002,C13H27O2,False,True,-0.5902385541947752,0.5541950634070585,0.1987420414906366,0,12,1,0,0
positive,C13H27O4_001,C13H27O4,False,True,-0.6346030176088119,0.5301459051380191,0.22076287045857138,0,12,2,0,0
positive,C13H27O_001,C13H27O,False,True,-0.5902385541947752,0.5541950634070585,0.1987420414906366,0,12,1,0,0
positive,C13H27_001,C13H27,False,True,-0.5458740907807385,0.5793351704278358,0.17695889883897797,0,12,0,0,0
positive,C13H28O2_001,C13H28O2,False,True,-0.5902385541947752,0.5541950634070585,0.1987420414906366,0,12,1,0,0
positive,C13H28_001,C13H28,False,True,-0.5458740907807385,0.5793351704278358,0.17695889883897797,0,12,0,0,0
positive,C14H27O_001,C14H27O,False,True,-0.6134133057204249,0.5414994080437147,0.21022279282426407,0,13,0,0,1
positive,C14H27_001,C14H27,False,True,-0.5735098541843997,0.563544006175868,0.1904938345450108,0,12,0,1,0
positive,C14H28O3_001,C14H28O3,False,True,-0.6577777691344616,0.5180011746120154,0.2323228676753968,0,13,1,0,1
positive,C14H28O_001,C14H28O,False,True,-0.6134133057204249,0.5414994080437147,0.21022279282426407,0,13,0,0,1
positive,C14H28O_002,C14H28O,True,True,-0.6800925251738734,0.5065701197087675,0.24347304676422002,0,13,2,0,0
positive,C14H28_001,C14H28,False,True,-0.5735098541843997,0.563544006175868,0.1904938345450108,0,12,0,1,0
positive,C14H29O2_001,C14H29O2,False,True,-0.6357280617598368,0.5295498029717567,0.22132338788391295,0,13,1,0,0
positive,C14H29O2_002,C14H29O2,False,True,-0.6357280617598368,0.5295498029717567,0.22132338788391295,0,13,1,0,0
positive,C14H29O4_001,C14H29O4,False,True,-0.6800925251738734,0.5065701197087675,0.24347304676422002,0,13,2,0,0
positive,C14H29O_001,C14H29O,False,True,-0.6357280617598368,0.5295498029717567,0.22132338788391295,0,13,1,0,0
positive,C14H29_001,C14H29,False,True,-0.5913635983458,0.5535719200900449,0.1992980305320893,0,13,0,0,0
positive,C14H30O2_001,C14H30O2,False,True,-0.6357280617598368,0.5295498029717567,0.22132338788391295,0,13,1,0,0
positive,C14H30_001,C14H30,False,True,-0.5913635983458,0.5535719200900449,0.1992980305320893,0,13,0,0,0
positive,C15H29O_001,C15H29O,False,True,-0.6589028132854864,0.5174187281207381,0.23288468396860612,0,14,0,0,1
positive,C15H29_001,C15H29,False,True,-0.6189993617494612,0.5384829947811196,0.21299794610620407,0,13,0,1,0
positive,C15H30O3_001,C15H30O3,False,True,-0.7032672766995232,0.4949654698628223,0.25505987663087987,0,14,1,0,1
positive,C15H30O_001,C15H30O,False,True,-0.6589028132854864,0.5174187281207381,0.23288468396860612,0,14,0,0,1
positive,C15H30O_002,C15H30O,True,True,-0.725582032738935,0.4840427582194527,0.2662118753457902,0,14,2,0,0
positive,C15H30_001,C15H30,False,True,-0.6189993617494612,0.5384829947811196,0.21299794610620407,0,13,0,1,0
positive,C15H31O2_001,C15H31O2,False,True,-0.6812175693248983,0.5060005264273791,0.24403547989002652,0,14,1,0,0
positive,C15H31O2_002,C15H31O2,False,True,-0.6812175693248983,0.5060005264273791,0.24403547989002652,0,14,1,0,0
positive,C15H31O4_001,C15H31O4,False,True,-0.725582032738935,0.4840427582194527,0.2662118753457902,0,14,2,0,0
