source,degeneracy_id,formula,is_ring,used_in_objective,log_P_exist,P_exist,individual_loss,C#C,C-C,C-O,C=C,C=O
positive,C10H19O_001,C10H19O,False,True,-0.43145527575864506,0.6495631131059976,0.12280601169595985,0,9,0,0,1
positive,C10H19_001,C10H19,False,True,-0.391551824177294,0.6760070160794392,0.10497145362974873,0,8,0,1,0
positive,C10H20O3_001,C10H20O3,False,True,-0.47581973916408427,0.6213754818163603,0.14335652576979332,0,9,1,0,1
positive,C10H20O_001,C10H20O,False,True,-0.43145527575864506,0.6495631131059976,0.12280601169595985,0,9,0,0,1
positive,C10H20O_002,C10H20O,True,True,-0.49813449371264906,0.6076632025262201,0.1539281626519818,0,9,2,0,0
positive,C10H20_001,C10H20,False,True,-0.391551824177294,0.6760070160794392,0.10497145362974873,0,8,0,1,0
positive,C10H21O2_001,C10H21O2,False,True,-0.4537700303072098,0.6352287998217881,0.1330580284794531,0,9,1,0,0
positive,C10H21O2_002,C10H21O2,False,True,-0.4537700303072098,0.6352287998217881,0.1330580284794531,0,9,1,0,0
positive,C10H21O4_001,C10H21O4,False,True,-0.49813449371264906,0.6076632025262201,0.1539281626519818,0,9,2,0,0
positive,C10H21O_001,C10H21O,False,True,-0.4537700303072098,0.6352287998217881,0.1330580284794531,0,9,1,0,0
positive,C10H21_001,C10H21,False,True,-0.4094055669017706,0.6640448630845276,0.11286585401989381,0,9,0,0,0
positive,C10H22O2_001,C10H22O2,False,True,-0.4537700303072098,0.6352287998217881,0.1330580284794531,0,9,1,0,0
positive,C10H22_001,C10H22,False,True,-0.4094055669017706,0.6640448630845276,0.11286585401989381,0,9,0,0,0
positive,C11H21O_001,C11H21O,False,True,-0.4769447831921751,0.62067680013886,0.1438860899528944,0,10,0,0,1
positive,C11H21_001,C11H21,False,True,-0.4370413316108241,0.6459447329225675,0.12535513214527205,0,9,0,1,0
positive,C11H22O3_001,C11H22O3,False,True,-0.5213092465976144,0.593742683285012,0.16504500738446207,0,10,1,0,1
positive,C11H22O_001,C11H22O,False,True,-0.4769447831921751,0.62067680013886,0.1438860899528944,0,10,0,0,1
positive,C11H22O_002,C11H22O,True,True,-0.543624001146179,0.5806401941493248,0.17586264676311603,0,10,2,0,0
positive,C11H22_001,C11H22,False,True,-0.4370413316108241,0.6459447329225675,0.12535513214527205,0,9,0,1,0
positive,C11H23O2_001,C11H23O2,False,True,-0.49925953774073983,0.6069799390919192,0.15446476827619157,0,10,1,0,0
positive,C11H23O2_002,C11H23O2,False,True,-0.49925953774073983,0.6069799390919192,0.15446476827619157,0,10,1,0,0
positive,C11H23O4_001,C11H23O4,False,True,-0.543624001146179,0.5806401941493248,0.17586264676311603,0,10,2,0,0
positive,C11H23O_001,C11H23O,False,True,-0.49925953774073983,0.6069799390919192,0.15446476827619157,0,10,1,0,0
positive,C11H23_001,C11H23,False,True,-0.45489507433530063,0.6345145413155486,0.1335796205097838,0,10,0,0,0
positive,C11H24O2_001,C11H24O2,False,True,-0.49925953774073983,0.6069799390919192,0.15446476827619157,0,10,1,0,0
positive,C11H24_001,C11H24,False,True,-0.45489507433530063,0.6345145413155486,0.1335796205097838,0,10,0,0,0
positive,C12H23O_001,C12H23O,False,True,-0.5224342906257051,0.5930750722412861,0.16558789683143454,0,11,0,0,1
positive,C12H23_001,C12H23,False,True,-0.4825308390443541,0.6172193306664966,0.14652104081540487,0,10,0,1,0
positive,C12H24O3_001,C12H24O3,False,True,-0.5667987540311443,0.5673387255705594,0.1871957783909077,0,11,1,0,1
positive,C12H24O_001,C12H24O,False,True,-0.5224342906257051,0.5930750722412861,0.16558789683143454,0,11,0,0,1
positive,C12H24O_002,C12H24O,True,True,-0.5891135085797091,0.5548189089946056,0.19818620378875323,0,11,2,0,0
positive,C12H24_001,C12H24,False,True,-0.4825308390443541,0.6172193306664966,0.14652104081540487,0,10,0,1,0
positive,C12H25O2_001,C12H25O2,False,True,-0.5447490451742699,0.5799873156937949,0.1764106549781039,0,11,1,0,0
positive,C12H25O2_002,C12H25O2,False,True,-0.5447490451742699,0.5799873156937949,0.1764106549781039,0,11,1,0,0
positive,C12H25O4_001,C12H25O4,False,True,-0.5891135085797091,0.5548189089946056,0.19818620378875323,0,11,2,0,0
positive,C12H25O_001,C12H25O,False,True,-0.5447490451742699,0.5799873156937949,0.1764106549781039,0,11,1,0,0
positive,C12H25_001,C12H25,False,True,-0.5003845817688307,0.6062974439268153,0.15500170265855914,0,11,0,0,0
positive,C12H26O2_001,C12H26O2,False,True,-0.5447490451742699,0.5799873156937949,0.1764106549781039,0,11,1,0,0
positive,C12H26_001,C12H26,False,True,-0.5003845817688307,0.6062974439268153,0.15500170265855914,0,11,0,0,0
positive,C13H25O_001,C13H25O,False,True,-0.5679237980592352,0.5667008034379805,0.18774819374129165,0,12,0,0,1
positive,C13H25_001,C13H25,False,True,-0.5280203464778842,0.5897713577208865,0.16828753894616486,0,11,0,1,0
