source,degeneracy_id,formula,is_ring,used_in_objective,log_P_exist,P_exist,individual_loss,C#C,C-C,C-O,C=C,C=O,O-O,O=O,C#O
pseudo_negative,C23H44O2_001,C23H44O2,False,True,-0.36446826965794366,0.6945658744555947,0.4824217539582649,0,20,2,2,0,0,0,0
pseudo_negative,C23H44O2_002,C23H44O2,False,True,-0.3630782643722315,0.6955319959938309,0.4837647574511624,0,21,1,1,1,0,0,0
pseudo_negative,C23H44O2_003,C23H44O2,False,True,-0.3616882590865194,0.6964994613798732,0.48511149970245343,0,22,0,0,2,0,0,0
pseudo_negative,C23H44O2_004,C23H44O2,False,True,-0.3689952468256995,0.6914286969236108,0.4780736429294824,1,21,2,0,0,0,0,0
pseudo_negative,C23H44O_001,C23H44O,False,True,-0.3491467168936088,0.7052896447728292,0.4974334830237836,0,20,1,2,0,0,0,0
pseudo_negative,C23H44O_002,C23H44O,False,True,-0.3477567116078967,0.7062706827730678,0.4988182773447354,0,21,0,1,1,0,0,0
pseudo_negative,C23H44O_003,C23H44O,False,True,-0.35367369406136473,0.7021040306957532,0.4929500699192232,1,21,1,0,0,0,0,0
pseudo_negative,C23H44_001,C23H44,False,True,-0.333825164129274,0.7161789850583649,0.5129123386392296,0,20,0,2,0,0,0,0
pseudo_negative,C23H44_002,C23H44,False,True,-0.3383521412970299,0.7129441865987296,0.5082894132049242,1,21,0,0,0,0,0,0
pseudo_negative,C23H46O2_001,C23H46O2,False,True,-0.3719917799315905,0.6893599090865441,0.47521708425580833,0,21,2,1,0,0,0,0
pseudo_negative,C23H46O2_002,C23H46O2,False,True,-0.37060177464587835,0.6903187892738079,0.47654003082445595,0,22,1,0,1,0,0,0
pseudo_negative,C23H46O_001,C23H46O,False,True,-0.35667022716725566,0.7000033017478204,0.49000462245785015,0,21,1,1,0,0,0,0
pseudo_negative,C23H46O_002,C23H46O,False,True,-0.3552802218815435,0.7009769865940347,0.49136873573445355,0,22,0,0,1,0,0,0
pseudo_negative,C23H46_001,C23H46,False,True,-0.3413486744029208,0.7108110233842069,0.5052523109645035,0,21,0,1,0,0,0,0
pseudo_negative,C23H48O2_001,C23H48O2,False,True,-0.37951529020523733,0.684192963883068,0.4681200118270973,0,22,2,0,0,0,0,0
pseudo_negative,C23H48O_001,C23H48O,False,True,-0.3641937374409025,0.6947565813413845,0.48268670731716784,0,22,1,0,0,0,0,0
pseudo_negative,C23H48_001,C23H48,False,True,-0.34887218467656766,0.7054832960832104,0.49770668105243066,0,22,0,0,0,0,0,0
pseudo_negative,C24H36O2_001,C24H36O2,False,True,-0.3444555114622487,0.7086060763337755,0.5021225714171484,1,19,0,3,2,0,0,0
pseudo_negative,C24H38O2_001,C24H38O2,False,True,-0.3533690270216076,0.7023179712410482,0.49325053272814184,1,19,1,3,1,0,0,0
pseudo_negative,C24H38O2_002,C24H38O2,False,True,-0.35197902173589557,0.7032948757272326,0.4946236822241835,1,20,0,2,2,0,0,0
pseudo_negative,C24H38O_001,C24H38O,False,True,-0.3380474742572728,0.7131614302853877,0.5085992256466999,1,19,0,3,1,0,0,0
pseudo_negative,C24H40O2_001,C24H40O2,False,True,-0.3549755548417865,0.701190583713827,0.4916682346889375,0,20,0,3,2,0,0,0
pseudo_negative,C24H40O2_002,C24H40O2,False,True,-0.3622825425809666,0.6960856662140807,0.4845352547087006,1,19,2,3,0,0,0,0
pseudo_negative,C24H40O2_003,C24H40O2,False,True,-0.3608925372952545,0.6970539017397809,0.4858841419306521,1,20,1,2,1,0,0,0
