source,degeneracy_id,formula,is_ring,used_in_objective,log_P_exist,P_exist,individual_loss,C#C,C-C,C-O,C=C,C=O,O-O,O=O,C#O
pseudo_negative,H2O3_001,H2O3,FALSE,TRUE,-0.089740138,0.914168712,0.835704435,0,0,0,0,0,2,0,0
pseudo_negative,H2O5_001,H2O5,FALSE,TRUE,-0.179480275,0.835704435,0.698401902,0,0,0,0,0,4,0,0
pseudo_negative,H2O6_001,H2O6,FALSE,TRUE,-0.224350344,0.799035148,0.638457168,0,0,0,0,0,5,0,0
pseudo_negative,C10H10_001,C10H10,TRUE,TRUE,-0.284612188,0.752305951,0.565964244,1,6,0,3,0,0,0,0
pseudo_negative,C10H12_001,C10H12,TRUE,TRUE,-0.29447624,0.744921646,0.554908258,1,7,0,2,0,0,0,0
pseudo_negative,C10H14_001,C10H14,TRUE,TRUE,-0.300278159,0.740612184,0.548506408,0,7,0,3,0,0,0,0
pseudo_negative,C10H8O_001,C10H8O,TRUE,TRUE,-0.304217378,0.737700489,0.544202012,1,6,0,3,1,0,0,0
pseudo_negative,C10H14_002,C10H14,TRUE,TRUE,-0.304340291,0.737609822,0.544068249,1,8,0,1,0,0,0,0
pseudo_negative,C10H16_001,C10H16,TRUE,TRUE,-0.31014221,0.73334266,0.537791457,0,8,0,2,0,0,0,0
pseudo_negative,C10H10O_002,C10H10O,TRUE,TRUE,-0.314081429,0.730459545,0.533571147,1,7,0,2,1,0,0,0
pseudo_negative,H2O8_001,H2O8,FALSE,TRUE,-0.314090482,0.730452932,0.533561486,0,0,0,0,0,7,0,0
pseudo_negative,C10H16_002,C10H16,TRUE,TRUE,-0.314204343,0.730369767,0.533439997,1,9,0,0,0,0,0,0
pseudo_negative,C10H10O_001,C10H10O,TRUE,TRUE,-0.317023856,0.728313381,0.53044038,1,6,1,3,0,0,0,0
pseudo_negative,C10H12O_001,C10H12O,TRUE,TRUE,-0.319883348,0.726233748,0.527415457,0,7,0,3,1,0,0,0
pseudo_negative,C10H18_001,C10H18,TRUE,TRUE,-0.320006262,0.72614449,0.52728582,0,9,0,1,0,0,0,0
pseudo_negative,C10H6O2_001,C10H6O2,TRUE,TRUE,-0.323822567,0.723378582,0.523276573,1,6,0,3,2,0,0,0
pseudo_negative,C10H12O_003,C10H12O,TRUE,TRUE,-0.323945481,0.723289674,0.523147953,1,8,0,1,1,0,0,0
pseudo_negative,C10H12O_002,C10H12O,TRUE,TRUE,-0.326887907,0.721164576,0.520078345,1,7,1,2,0,0,0,0
pseudo_negative,C10H14O_002,C10H14O,TRUE,TRUE,-0.3297474,0.719105356,0.517112514,0,8,0,2,1,0,0,0
pseudo_negative,C10H20_001,C10H20,TRUE,TRUE,-0.329870314,0.719016974,0.516985409,0,10,0,0,0,0,0,0
