source,degeneracy_id,formula,is_ring,used_in_objective,log_P_exist,P_exist,individual_loss,C#C,C-C,C-O,C=C,C=O
positive,C10H19O_001,C10H19O,False,True,-0.43145527773247405,0.6495631118238712,0.12280601259456862,0,9,0,0,1
positive,C10H19_001,C10H19,False,True,-0.3915518259890999,0.6760070148546458,0.10497145442339774,0,8,0,1,0
positive,C10H20O3_001,C10H20O3,False,True,-0.475819741376406,0.6213754804416778,0.14335652681077032,0,9,1,0,1
positive,C10H20O_001,C10H20O,False,True,-0.43145527773247405,0.6495631118238712,0.12280601259456862,0,9,0,0,1
positive,C10H20O_002,C10H20O,True,True,-0.4981344973444741,0.6076632003192936,0.15392816438369877,0,9,2,0,0
positive,C10H20_001,C10H20,False,True,-0.3915518259890999,0.6760070148546458,0.10497145442339774,0,8,0,1,0
positive,C10H21O2_001,C10H21O2,False,True,-0.4537700337005422,0.6352287976662456,0.13305803005201278,0,9,1,0,0
positive,C10H21O2_002,C10H21O2,False,True,-0.4537700337005422,0.6352287976662456,0.13305803005201278,0,9,1,0,0
positive,C10H21O4_001,C10H21O4,False,True,-0.4981344973444741,0.6076632003192936,0.15392816438369877,0,9,2,0,0
positive,C10H21O_001,C10H21O,False,True,-0.4537700337005422,0.6352287976662456,0.13305803005201278,0,9,1,0,0
positive,C10H21_001,C10H21,False,True,-0.40940557005661027,0.6640448609895725,0.11286585542751566,0,9,0,0,0
positive,C10H22O2_001,C10H22O2,False,True,-0.4537700337005422,0.6352287976662456,0.13305803005201278,0,9,1,0,0
positive,C10H22_001,C10H22,False,True,-0.40940557005661027,0.6640448609895725,0.11286585542751566,0,9,0,0,0
positive,C11H21O_001,C11H21O,False,True,-0.47694478551654185,0.6206767986961794,0.1438860910473788,0,10,0,0,1
positive,C11H21_001,C11H21,False,True,-0.4370413337731677,0.645944731525813,0.12535513313432864,0,9,0,1,0
positive,C11H22O3_001,C11H22O3,False,True,-0.5213092491604738,0.5937426817633329,0.16504500862084862,0,10,1,0,1
positive,C11H22O_001,C11H22O,False,True,-0.47694478551654185,0.6206767986961794,0.1438860910473788,0,10,0,0,1
positive,C11H22O_002,C11H22O,True,True,-0.5436240051285419,0.5806401918370048,0.17586264870250415,0,10,2,0,0
positive,C11H22_001,C11H22,False,True,-0.4370413337731677,0.645944731525813,0.12535513313432864,0,9,0,1,0
positive,C11H23O2_001,C11H23O2,False,True,-0.49925954148461,0.606979936819465,0.15446477006243167,0,10,1,0,0
positive,C11H23O2_002,C11H23O2,False,True,-0.49925954148461,0.606979936819465,0.15446477006243167,0,10,1,0,0
positive,C11H23O4_001,C11H23O4,False,True,-0.5436240051285419,0.5806401918370048,0.17586264870250415,0,10,2,0,0
positive,C11H23O_001,C11H23O,False,True,-0.49925954148461,0.606979936819465,0.15446477006243167,0,10,1,0,0
positive,C11H23_001,C11H23,False,True,-0.45489507784067806,0.6345145390913357,0.13357962213561878,0,10,0,0,0
positive,C11H24O2_001,C11H24O2,False,True,-0.49925954148461,0.606979936819465,0.15446477006243167,0,10,1,0,0
positive,C11H24_001,C11H24,False,True,-0.45489507784067806,0.6345145390913357,0.13357962213561878,0,10,0,0,0
positive,C12H23O_001,C12H23O,False,True,-0.5224342933006096,0.593075070654867,0.16558789812254152,0,11,0,0,1
positive,C12H23_001,C12H23,False,True,-0.48253084155723547,0.6172193291154976,0.14652104200278976,0,10,0,1,0
positive,C12H24O3_001,C12H24O3,False,True,-0.5667987569445416,0.5673387239176763,0.18719577982118477,0,11,1,0,1
