11:23:30 | STAGE II | fixed network | checkpoint=../stageI/output_stage1/20260916_105526_866421/trained_growth_gnn.pt | epoch=300
11:23:30 | Compositions=29 | samples/composition=100 | temperature=1.0 | seed=24680
11:23:30 | New candidates satisfy the requested formula and construction masks; they are not confirmed stable or chemically important species.
11:23:30 | C,H,O=(0, 2, 0) | reference=60 | candidate samples=0 | wrong formula=40 | step limit=0 | unique=1
11:23:30 | C,H,O=(0, 0, 2) | reference=62 | candidate samples=1 | wrong formula=37 | step limit=0 | unique=2
11:23:30 | C,H,O=(0, 1, 0) | reference=49 | candidate samples=0 | wrong formula=51 | step limit=0 | unique=1
11:23:30 | C,H,O=(0, 0, 1) | reference=59 | candidate samples=0 | wrong formula=41 | step limit=0 | unique=1
11:23:30 | C,H,O=(0, 1, 1) | reference=58 | candidate samples=0 | wrong formula=42 | step limit=0 | unique=1
11:23:30 | C,H,O=(0, 2, 1) | reference=51 | candidate samples=0 | wrong formula=49 | step limit=0 | unique=1
11:23:30 | C,H,O=(0, 1, 2) | reference=44 | candidate samples=0 | wrong formula=56 | step limit=0 | unique=1
11:23:30 | C,H,O=(0, 2, 2) | reference=76 | candidate samples=0 | wrong formula=24 | step limit=0 | unique=1
11:23:30 | C,H,O=(1, 0, 2) | reference=68 | candidate samples=0 | wrong formula=32 | step limit=0 | unique=1
11:23:30 | C,H,O=(1, 1, 1) | reference=55 | candidate samples=1 | wrong formula=44 | step limit=0 | unique=2
11:23:30 | C,H,O=(1, 2, 1) | reference=35 | candidate samples=2 | wrong formula=63 | step limit=0 | unique=2
11:23:30 | C,H,O=(1, 4, 0) | reference=76 | candidate samples=0 | wrong formula=24 | step limit=0 | unique=1
11:23:30 | C,H,O=(1, 3, 0) | reference=70 | candidate samples=0 | wrong formula=30 | step limit=0 | unique=1
11:23:30 | C,H,O=(1, 3, 2) | reference=51 | candidate samples=2 | wrong formula=47 | step limit=0 | unique=3
11:23:30 | C,H,O=(1, 2, 0) | reference=59 | candidate samples=0 | wrong formula=41 | step limit=0 | unique=1
11:23:30 | C,H,O=(1, 1, 0) | reference=46 | candidate samples=0 | wrong formula=54 | step limit=0 | unique=1
11:23:30 | C,H,O=(1, 0, 0) | reference=52 | candidate samples=0 | wrong formula=48 | step limit=0 | unique=1
11:23:30 | C,H,O=(1, 3, 1) | reference=64 | candidate samples=0 | wrong formula=36 | step limit=0 | unique=2
11:23:30 | C,H,O=(1, 4, 1) | reference=63 | candidate samples=0 | wrong formula=37 | step limit=0 | unique=1
11:23:30 | C,H,O=(2, 6, 0) | reference=89 | candidate samples=0 | wrong formula=11 | step limit=0 | unique=1
11:23:30 | C,H,O=(2, 5, 0) | reference=72 | candidate samples=0 | wrong formula=28 | step limit=0 | unique=1
11:23:30 | C,H,O=(2, 4, 0) | reference=18 | candidate samples=3 | wrong formula=79 | step limit=0 | unique=3
11:23:30 | C,H,O=(2, 3, 0) | reference=29 | candidate samples=0 | wrong formula=71 | step limit=0 | unique=1
11:23:31 | C,H,O=(2, 2, 0) | reference=37 | candidate samples=1 | wrong formula=62 | step limit=0 | unique=2
11:23:31 | C,H,O=(2, 1, 0) | reference=51 | candidate samples=0 | wrong formula=49 | step limit=0 | unique=1
11:23:31 | C,H,O=(2, 1, 1) | reference=50 | candidate samples=0 | wrong formula=50 | step limit=0 | unique=1
11:23:31 | C,H,O=(2, 2, 1) | reference=38 | candidate samples=1 | wrong formula=61 | step limit=0 | unique=2
11:23:31 | C,H,O=(2, 3, 1) | reference=49 | candidate samples=0 | wrong formula=51 | step limit=0 | unique=2
11:23:31 | C,H,O=(2, 4, 1) | reference=45 | candidate samples=0 | wrong formula=55 | step limit=0 | unique=1
11:23:31 | FINISHED | attempts=2900 | reference structures=31 | new candidate structures=9 | elapsed=1.2s
11:23:31 | Saved exploration outputs: output_stage2/exploration_III/runs/run_001
