11:23:32 | STAGE II | fixed network | checkpoint=../stageI/output_stage1/20260916_105526_866421/trained_growth_gnn.pt | epoch=300
11:23:32 | Compositions=29 | samples/composition=100 | temperature=1.0 | seed=26680
11:23:32 | New candidates satisfy the requested formula and construction masks; they are not confirmed stable or chemically important species.
11:23:32 | C,H,O=(0, 2, 0) | reference=53 | candidate samples=0 | wrong formula=47 | step limit=0 | unique=1
11:23:32 | C,H,O=(0, 0, 2) | reference=64 | candidate samples=2 | wrong formula=34 | step limit=0 | unique=2
11:23:32 | C,H,O=(0, 1, 0) | reference=50 | candidate samples=0 | wrong formula=50 | step limit=0 | unique=1
11:23:32 | C,H,O=(0, 0, 1) | reference=75 | candidate samples=0 | wrong formula=25 | step limit=0 | unique=1
11:23:32 | C,H,O=(0, 1, 1) | reference=57 | candidate samples=0 | wrong formula=43 | step limit=0 | unique=1
11:23:32 | C,H,O=(0, 2, 1) | reference=67 | candidate samples=0 | wrong formula=33 | step limit=0 | unique=1
11:23:33 | C,H,O=(0, 1, 2) | reference=39 | candidate samples=0 | wrong formula=61 | step limit=0 | unique=1
11:23:33 | C,H,O=(0, 2, 2) | reference=75 | candidate samples=0 | wrong formula=25 | step limit=0 | unique=1
11:23:33 | C,H,O=(1, 0, 2) | reference=64 | candidate samples=1 | wrong formula=35 | step limit=0 | unique=2
11:23:33 | C,H,O=(1, 1, 1) | reference=58 | candidate samples=1 | wrong formula=41 | step limit=0 | unique=2
11:23:33 | C,H,O=(1, 2, 1) | reference=40 | candidate samples=0 | wrong formula=60 | step limit=0 | unique=1
11:23:33 | C,H,O=(1, 4, 0) | reference=76 | candidate samples=0 | wrong formula=24 | step limit=0 | unique=1
11:23:33 | C,H,O=(1, 3, 0) | reference=74 | candidate samples=0 | wrong formula=26 | step limit=0 | unique=1
11:23:33 | C,H,O=(1, 3, 2) | reference=60 | candidate samples=0 | wrong formula=40 | step limit=0 | unique=1
11:23:33 | C,H,O=(1, 2, 0) | reference=51 | candidate samples=0 | wrong formula=49 | step limit=0 | unique=1
11:23:33 | C,H,O=(1, 1, 0) | reference=43 | candidate samples=0 | wrong formula=57 | step limit=0 | unique=1
11:23:33 | C,H,O=(1, 0, 0) | reference=63 | candidate samples=0 | wrong formula=37 | step limit=0 | unique=1
11:23:33 | C,H,O=(1, 3, 1) | reference=60 | candidate samples=0 | wrong formula=40 | step limit=0 | unique=2
11:23:33 | C,H,O=(1, 4, 1) | reference=65 | candidate samples=0 | wrong formula=35 | step limit=0 | unique=1
11:23:33 | C,H,O=(2, 6, 0) | reference=88 | candidate samples=0 | wrong formula=12 | step limit=0 | unique=1
11:23:33 | C,H,O=(2, 5, 0) | reference=75 | candidate samples=0 | wrong formula=25 | step limit=0 | unique=1
11:23:33 | C,H,O=(2, 4, 0) | reference=18 | candidate samples=1 | wrong formula=81 | step limit=0 | unique=2
11:23:33 | C,H,O=(2, 3, 0) | reference=42 | candidate samples=0 | wrong formula=58 | step limit=0 | unique=1
11:23:33 | C,H,O=(2, 2, 0) | reference=32 | candidate samples=0 | wrong formula=68 | step limit=0 | unique=1
11:23:33 | C,H,O=(2, 1, 0) | reference=54 | candidate samples=2 | wrong formula=44 | step limit=0 | unique=2
11:23:33 | C,H,O=(2, 1, 1) | reference=44 | candidate samples=0 | wrong formula=56 | step limit=0 | unique=1
11:23:33 | C,H,O=(2, 2, 1) | reference=48 | candidate samples=0 | wrong formula=52 | step limit=0 | unique=1
11:23:33 | C,H,O=(2, 3, 1) | reference=33 | candidate samples=0 | wrong formula=67 | step limit=0 | unique=2
11:23:33 | C,H,O=(2, 4, 1) | reference=51 | candidate samples=1 | wrong formula=48 | step limit=0 | unique=2
11:23:34 | FINISHED | attempts=2900 | reference structures=31 | new candidate structures=6 | elapsed=1.2s
11:23:34 | Saved exploration outputs: output_stage2/exploration_III/runs/run_003
