11:23:39 | STAGE II | fixed network | checkpoint=../stageI/output_stage1/20260916_105526_866421/trained_growth_gnn.pt | epoch=300
11:23:39 | Compositions=29 | samples/composition=100 | temperature=1.0 | seed=31680
11:23:39 | New candidates satisfy the requested formula and construction masks; they are not confirmed stable or chemically important species.
11:23:39 | C,H,O=(0, 2, 0) | reference=61 | candidate samples=0 | wrong formula=39 | step limit=0 | unique=1
11:23:39 | C,H,O=(0, 0, 2) | reference=66 | candidate samples=0 | wrong formula=34 | step limit=0 | unique=1
11:23:39 | C,H,O=(0, 1, 0) | reference=54 | candidate samples=0 | wrong formula=46 | step limit=0 | unique=1
11:23:39 | C,H,O=(0, 0, 1) | reference=64 | candidate samples=0 | wrong formula=36 | step limit=0 | unique=1
11:23:39 | C,H,O=(0, 1, 1) | reference=60 | candidate samples=0 | wrong formula=40 | step limit=0 | unique=1
11:23:39 | C,H,O=(0, 2, 1) | reference=64 | candidate samples=0 | wrong formula=36 | step limit=0 | unique=1
11:23:39 | C,H,O=(0, 1, 2) | reference=50 | candidate samples=0 | wrong formula=50 | step limit=0 | unique=1
11:23:39 | C,H,O=(0, 2, 2) | reference=65 | candidate samples=0 | wrong formula=35 | step limit=0 | unique=1
11:23:39 | C,H,O=(1, 0, 2) | reference=75 | candidate samples=0 | wrong formula=25 | step limit=0 | unique=1
11:23:39 | C,H,O=(1, 1, 1) | reference=56 | candidate samples=2 | wrong formula=42 | step limit=0 | unique=2
11:23:39 | C,H,O=(1, 2, 1) | reference=54 | candidate samples=0 | wrong formula=46 | step limit=0 | unique=1
11:23:39 | C,H,O=(1, 4, 0) | reference=79 | candidate samples=0 | wrong formula=21 | step limit=0 | unique=1
11:23:39 | C,H,O=(1, 3, 0) | reference=63 | candidate samples=0 | wrong formula=37 | step limit=0 | unique=1
11:23:39 | C,H,O=(1, 3, 2) | reference=59 | candidate samples=2 | wrong formula=39 | step limit=0 | unique=2
11:23:39 | C,H,O=(1, 2, 0) | reference=66 | candidate samples=0 | wrong formula=34 | step limit=0 | unique=1
11:23:39 | C,H,O=(1, 1, 0) | reference=40 | candidate samples=0 | wrong formula=60 | step limit=0 | unique=1
11:23:39 | C,H,O=(1, 0, 0) | reference=57 | candidate samples=0 | wrong formula=43 | step limit=0 | unique=1
11:23:39 | C,H,O=(1, 3, 1) | reference=63 | candidate samples=0 | wrong formula=37 | step limit=0 | unique=2
11:23:40 | C,H,O=(1, 4, 1) | reference=78 | candidate samples=0 | wrong formula=22 | step limit=0 | unique=1
11:23:40 | C,H,O=(2, 6, 0) | reference=87 | candidate samples=0 | wrong formula=13 | step limit=0 | unique=1
11:23:40 | C,H,O=(2, 5, 0) | reference=65 | candidate samples=0 | wrong formula=35 | step limit=0 | unique=1
11:23:40 | C,H,O=(2, 4, 0) | reference=23 | candidate samples=1 | wrong formula=76 | step limit=0 | unique=2
11:23:40 | C,H,O=(2, 3, 0) | reference=40 | candidate samples=0 | wrong formula=60 | step limit=0 | unique=1
11:23:40 | C,H,O=(2, 2, 0) | reference=44 | candidate samples=0 | wrong formula=56 | step limit=0 | unique=1
11:23:40 | C,H,O=(2, 1, 0) | reference=56 | candidate samples=0 | wrong formula=44 | step limit=0 | unique=1
11:23:40 | C,H,O=(2, 1, 1) | reference=50 | candidate samples=1 | wrong formula=49 | step limit=0 | unique=2
11:23:40 | C,H,O=(2, 2, 1) | reference=51 | candidate samples=0 | wrong formula=49 | step limit=0 | unique=1
11:23:40 | C,H,O=(2, 3, 1) | reference=34 | candidate samples=1 | wrong formula=65 | step limit=0 | unique=3
11:23:40 | C,H,O=(2, 4, 1) | reference=50 | candidate samples=0 | wrong formula=50 | step limit=0 | unique=1
11:23:40 | FINISHED | attempts=2900 | reference structures=31 | new candidate structures=5 | elapsed=1.2s
11:23:40 | Saved exploration outputs: output_stage2/exploration_III/runs/run_008
