11:23:34 | STAGE II | fixed network | checkpoint=../stageI/output_stage1/20260916_105526_866421/trained_growth_gnn.pt | epoch=300
11:23:34 | Compositions=29 | samples/composition=100 | temperature=1.0 | seed=27680
11:23:34 | New candidates satisfy the requested formula and construction masks; they are not confirmed stable or chemically important species.
11:23:34 | C,H,O=(0, 2, 0) | reference=62 | candidate samples=0 | wrong formula=38 | step limit=0 | unique=1
11:23:34 | C,H,O=(0, 0, 2) | reference=61 | candidate samples=1 | wrong formula=38 | step limit=0 | unique=2
11:23:34 | C,H,O=(0, 1, 0) | reference=47 | candidate samples=0 | wrong formula=53 | step limit=0 | unique=1
11:23:34 | C,H,O=(0, 0, 1) | reference=65 | candidate samples=0 | wrong formula=35 | step limit=0 | unique=1
11:23:34 | C,H,O=(0, 1, 1) | reference=52 | candidate samples=0 | wrong formula=48 | step limit=0 | unique=1
11:23:34 | C,H,O=(0, 2, 1) | reference=61 | candidate samples=0 | wrong formula=39 | step limit=0 | unique=1
11:23:34 | C,H,O=(0, 1, 2) | reference=50 | candidate samples=0 | wrong formula=50 | step limit=0 | unique=1
11:23:34 | C,H,O=(0, 2, 2) | reference=78 | candidate samples=0 | wrong formula=22 | step limit=0 | unique=1
11:23:34 | C,H,O=(1, 0, 2) | reference=72 | candidate samples=1 | wrong formula=27 | step limit=0 | unique=2
11:23:34 | C,H,O=(1, 1, 1) | reference=54 | candidate samples=1 | wrong formula=45 | step limit=0 | unique=2
11:23:34 | C,H,O=(1, 2, 1) | reference=38 | candidate samples=1 | wrong formula=61 | step limit=0 | unique=2
11:23:34 | C,H,O=(1, 4, 0) | reference=87 | candidate samples=0 | wrong formula=13 | step limit=0 | unique=1
11:23:34 | C,H,O=(1, 3, 0) | reference=60 | candidate samples=0 | wrong formula=40 | step limit=0 | unique=1
11:23:34 | C,H,O=(1, 3, 2) | reference=48 | candidate samples=0 | wrong formula=52 | step limit=0 | unique=1
11:23:34 | C,H,O=(1, 2, 0) | reference=56 | candidate samples=0 | wrong formula=44 | step limit=0 | unique=1
11:23:34 | C,H,O=(1, 1, 0) | reference=45 | candidate samples=0 | wrong formula=55 | step limit=0 | unique=1
11:23:34 | C,H,O=(1, 0, 0) | reference=59 | candidate samples=0 | wrong formula=41 | step limit=0 | unique=1
11:23:34 | C,H,O=(1, 3, 1) | reference=61 | candidate samples=0 | wrong formula=39 | step limit=0 | unique=2
11:23:34 | C,H,O=(1, 4, 1) | reference=67 | candidate samples=0 | wrong formula=33 | step limit=0 | unique=1
11:23:34 | C,H,O=(2, 6, 0) | reference=87 | candidate samples=0 | wrong formula=13 | step limit=0 | unique=1
11:23:34 | C,H,O=(2, 5, 0) | reference=72 | candidate samples=0 | wrong formula=28 | step limit=0 | unique=1
11:23:34 | C,H,O=(2, 4, 0) | reference=23 | candidate samples=1 | wrong formula=76 | step limit=0 | unique=2
11:23:34 | C,H,O=(2, 3, 0) | reference=34 | candidate samples=0 | wrong formula=66 | step limit=0 | unique=1
11:23:34 | C,H,O=(2, 2, 0) | reference=41 | candidate samples=2 | wrong formula=57 | step limit=0 | unique=2
11:23:34 | C,H,O=(2, 1, 0) | reference=45 | candidate samples=0 | wrong formula=55 | step limit=0 | unique=1
11:23:34 | C,H,O=(2, 1, 1) | reference=48 | candidate samples=0 | wrong formula=52 | step limit=0 | unique=1
11:23:35 | C,H,O=(2, 2, 1) | reference=44 | candidate samples=0 | wrong formula=56 | step limit=0 | unique=1
11:23:35 | C,H,O=(2, 3, 1) | reference=43 | candidate samples=0 | wrong formula=57 | step limit=0 | unique=2
11:23:35 | C,H,O=(2, 4, 1) | reference=56 | candidate samples=0 | wrong formula=44 | step limit=0 | unique=1
11:23:35 | FINISHED | attempts=2900 | reference structures=31 | new candidate structures=6 | elapsed=1.2s
11:23:35 | Saved exploration outputs: output_stage2/exploration_III/runs/run_004
