source,degeneracy_id,formula,is_ring,used_in_objective,log_P_exist,P_exist,individual_loss,C#C,C-C,C-O,C=C,C=O
positive,C10H19O_001,C10H19O,False,True,-0.43145527606221573,0.6495631129088093,0.12280601183416394,0,9,0,0,1
positive,C10H19_001,C10H19,False,True,-0.39155182446984477,0.6760070158816729,0.10497145375789857,0,8,0,1,0
positive,C10H20O3_001,C10H20O3,False,True,-0.47581973953845313,0.6213754815837366,0.14335652594594742,0,9,1,0,1
positive,C10H20O_001,C10H20O,False,True,-0.43145527606221573,0.6495631129088093,0.12280601183416394,0,9,0,0,1
positive,C10H20O_002,C10H20O,True,True,-0.49813449562821493,0.6076632013622012,0.15392816356535668,0,9,2,0,0
positive,C10H20_001,C10H20,False,True,-0.39155182446984477,0.6760070158816729,0.10497145375789857,0,8,0,1,0
positive,C10H21O2_001,C10H21O2,False,True,-0.45377003215197753,0.6352287986499385,0.13305802933436708,0,9,1,0,0
positive,C10H21O2_002,C10H21O2,False,True,-0.45377003215197753,0.6352287986499385,0.13305802933436708,0,9,1,0,0
positive,C10H21O4_001,C10H21O4,False,True,-0.49813449562821493,0.6076632013622012,0.15392816356535668,0,9,2,0,0
positive,C10H21O_001,C10H21O,False,True,-0.45377003215197753,0.6352287986499385,0.13305802933436708,0,9,1,0,0
positive,C10H21_001,C10H21,False,True,-0.40940556867574013,0.6640448619065322,0.112865854811401,0,9,0,0,0
positive,C10H22O2_001,C10H22O2,False,True,-0.45377003215197753,0.6352287986499385,0.13305802933436708,0,9,1,0,0
positive,C10H22_001,C10H22,False,True,-0.40940556867574013,0.6640448619065322,0.112865854811401,0,9,0,0,0
positive,C11H21O_001,C11H21O,False,True,-0.47694478369285354,0.6206767998281004,0.143886090188651,0,10,0,0,1
positive,C11H21_001,C11H21,False,True,-0.43704133210048257,0.6459447326062752,0.125355132369242,0,9,0,1,0
positive,C11H22O3_001,C11H22O3,False,True,-0.521309247169091,0.5937426829457019,0.1650450076601565,0,10,1,0,1
positive,C11H22O_001,C11H22O,False,True,-0.47694478369285354,0.6206767998281004,0.143886090188651,0,10,0,0,1
positive,C11H22O_002,C11H22O,True,True,-0.5436240032588527,0.5806401929226215,0.17586264779197613,0,10,2,0,0
positive,C11H22_001,C11H22,False,True,-0.43704133210048257,0.6459447326062752,0.125355132369242,0,9,0,1,0
positive,C11H23O2_001,C11H23O2,False,True,-0.49925953978261534,0.6069799378525417,0.15446476925039201,0,10,1,0,0
positive,C11H23O2_002,C11H23O2,False,True,-0.49925953978261534,0.6069799378525417,0.15446476925039201,0,10,1,0,0
positive,C11H23O4_001,C11H23O4,False,True,-0.5436240032588527,0.5806401929226215,0.17586264779197613,0,10,2,0,0
positive,C11H23O_001,C11H23O,False,True,-0.49925953978261534,0.6069799378525417,0.15446476925039201,0,10,1,0,0
positive,C11H23_001,C11H23,False,True,-0.45489507630637793,0.6345145400648714,0.1335796214239925,0,10,0,0,0
positive,C11H24O2_001,C11H24O2,False,True,-0.49925953978261534,0.6069799378525417,0.15446476925039201,0,10,1,0,0
positive,C11H24_001,C11H24,False,True,-0.45489507630637793,0.6345145400648714,0.1335796214239925,0,10,0,0,0
positive,C12H23O_001,C12H23O,False,True,-0.5224342913234913,0.5930750718274466,0.16558789716823777,0,11,0,0,1
positive,C12H23_001,C12H23,False,True,-0.4825308397311204,0.6172193302426112,0.14652104113991513,0,10,0,1,0
positive,C12H24O3_001,C12H24O3,False,True,-0.5667987547997286,0.5673387251345118,0.18719577876822954,0,11,1,0,1
positive,C12H24O_001,C12H24O,False,True,-0.5224342913234913,0.5930750718274466,0.16558789716823777,0,11,0,0,1
positive,C12H24O_002,C12H24O,True,True,-0.5891135108894905,0.5548189077130953,0.19818620492976158,0,11,2,0,0
positive,C12H24_001,C12H24,False,True,-0.4825308397311204,0.6172193302426112,0.14652104113991513,0,10,0,1,0
positive,C12H25O2_001,C12H25O2,False,True,-0.544749047413253,0.5799873143952131,0.17641065606894554,0,11,1,0,0
positive,C12H25O2_002,C12H25O2,False,True,-0.544749047413253,0.5799873143952131,0.17641065606894554,0,11,1,0,0
positive,C12H25O4_001,C12H25O4,False,True,-0.5891135108894905,0.5548189077130953,0.19818620492976158,0,11,2,0,0
positive,C12H25O_001,C12H25O,False,True,-0.544749047413253,0.5799873143952131,0.17641065606894554,0,11,1,0,0
positive,C12H25_001,C12H25,False,True,-0.5003845839370157,0.6062974426122503,0.15500170369365437,0,11,0,0,0
positive,C12H26O2_001,C12H26O2,False,True,-0.544749047413253,0.5799873143952131,0.17641065606894554,0,11,1,0,0
positive,C12H26_001,C12H26,False,True,-0.5003845839370157,0.6062974426122503,0.15500170369365437,0,11,0,0,0
positive,C13H25O_001,C13H25O,False,True,-0.567923798954129,0.5667008029308435,0.18774819418077576,0,12,0,0,1
positive,C13H25_001,C13H25,False,True,-0.5280203473617582,0.5897713571996029,0.16828753937385577,0,11,0,1,0
