11:23:38 | STAGE II | fixed network | checkpoint=../stageI/output_stage1/20260916_105526_866421/trained_growth_gnn.pt | epoch=300
11:23:38 | Compositions=29 | samples/composition=100 | temperature=1.0 | seed=30680
11:23:38 | New candidates satisfy the requested formula and construction masks; they are not confirmed stable or chemically important species.
11:23:38 | C,H,O=(0, 2, 0) | reference=58 | candidate samples=0 | wrong formula=42 | step limit=0 | unique=1
11:23:38 | C,H,O=(0, 0, 2) | reference=65 | candidate samples=1 | wrong formula=34 | step limit=0 | unique=2
11:23:38 | C,H,O=(0, 1, 0) | reference=44 | candidate samples=0 | wrong formula=56 | step limit=0 | unique=1
11:23:38 | C,H,O=(0, 0, 1) | reference=68 | candidate samples=0 | wrong formula=32 | step limit=0 | unique=1
11:23:38 | C,H,O=(0, 1, 1) | reference=63 | candidate samples=0 | wrong formula=37 | step limit=0 | unique=1
11:23:38 | C,H,O=(0, 2, 1) | reference=62 | candidate samples=0 | wrong formula=38 | step limit=0 | unique=1
11:23:38 | C,H,O=(0, 1, 2) | reference=50 | candidate samples=0 | wrong formula=50 | step limit=0 | unique=1
11:23:38 | C,H,O=(0, 2, 2) | reference=77 | candidate samples=0 | wrong formula=23 | step limit=0 | unique=1
11:23:38 | C,H,O=(1, 0, 2) | reference=74 | candidate samples=0 | wrong formula=26 | step limit=0 | unique=1
11:23:38 | C,H,O=(1, 1, 1) | reference=65 | candidate samples=1 | wrong formula=34 | step limit=0 | unique=2
11:23:38 | C,H,O=(1, 2, 1) | reference=35 | candidate samples=3 | wrong formula=62 | step limit=0 | unique=2
11:23:38 | C,H,O=(1, 4, 0) | reference=81 | candidate samples=0 | wrong formula=19 | step limit=0 | unique=1
11:23:38 | C,H,O=(1, 3, 0) | reference=68 | candidate samples=0 | wrong formula=32 | step limit=0 | unique=1
11:23:38 | C,H,O=(1, 3, 2) | reference=52 | candidate samples=2 | wrong formula=46 | step limit=0 | unique=2
11:23:38 | C,H,O=(1, 2, 0) | reference=59 | candidate samples=0 | wrong formula=41 | step limit=0 | unique=1
11:23:38 | C,H,O=(1, 1, 0) | reference=46 | candidate samples=0 | wrong formula=54 | step limit=0 | unique=1
11:23:38 | C,H,O=(1, 0, 0) | reference=53 | candidate samples=0 | wrong formula=47 | step limit=0 | unique=1
11:23:38 | C,H,O=(1, 3, 1) | reference=62 | candidate samples=0 | wrong formula=38 | step limit=0 | unique=2
11:23:38 | C,H,O=(1, 4, 1) | reference=71 | candidate samples=0 | wrong formula=29 | step limit=0 | unique=1
11:23:38 | C,H,O=(2, 6, 0) | reference=88 | candidate samples=0 | wrong formula=12 | step limit=0 | unique=1
11:23:38 | C,H,O=(2, 5, 0) | reference=77 | candidate samples=0 | wrong formula=23 | step limit=0 | unique=1
11:23:38 | C,H,O=(2, 4, 0) | reference=27 | candidate samples=4 | wrong formula=69 | step limit=0 | unique=3
11:23:38 | C,H,O=(2, 3, 0) | reference=32 | candidate samples=0 | wrong formula=68 | step limit=0 | unique=1
11:23:38 | C,H,O=(2, 2, 0) | reference=39 | candidate samples=0 | wrong formula=61 | step limit=0 | unique=1
11:23:38 | C,H,O=(2, 1, 0) | reference=59 | candidate samples=1 | wrong formula=40 | step limit=0 | unique=2
11:23:38 | C,H,O=(2, 1, 1) | reference=43 | candidate samples=0 | wrong formula=57 | step limit=0 | unique=1
11:23:38 | C,H,O=(2, 2, 1) | reference=41 | candidate samples=0 | wrong formula=59 | step limit=0 | unique=1
11:23:39 | C,H,O=(2, 3, 1) | reference=36 | candidate samples=0 | wrong formula=64 | step limit=0 | unique=2
11:23:39 | C,H,O=(2, 4, 1) | reference=42 | candidate samples=0 | wrong formula=58 | step limit=0 | unique=1
11:23:39 | FINISHED | attempts=2900 | reference structures=31 | new candidate structures=7 | elapsed=1.2s
11:23:39 | Saved exploration outputs: output_stage2/exploration_III/runs/run_007
