source,degeneracy_id,formula,is_ring,used_in_objective,log_P_exist,P_exist,individual_loss,C#C,C-C,C-O,C=C,C=O,O-O,O=O,C#O
positive,C13H26O3_001,C13H26O3,False,True,-0.6452095563944173,0.5245526072351632,0.226050223286881,0,12,1,0,1,1,0,0
positive,C13H26O_001,C13H26O,False,True,-0.5486349014004899,0.5777379415746295,0.17830524598563097,0,12,0,0,1,0,0,0
positive,C13H26O_002,C13H26O,True,True,-0.6046812403517607,0.5462485208774924,0.20589040480586343,0,12,2,0,0,0,0,0
positive,C13H26_001,C13H26,False,True,-0.5092820186861052,0.6009268782308634,0.1592593565185641,0,11,0,1,0,0,0,0
positive,C13H27O2_001,C13H27O2,False,True,-0.615809979990811,0.540203164302512,0.21141313011742274,0,12,1,0,0,1,0,0
positive,C13H27O2_002,C13H27O2,False,True,-0.615809979990811,0.540203164302512,0.21141313011742274,0,12,1,0,0,1,0,0
positive,C13H27O4_001,C13H27O4,False,True,-0.7123846349847385,0.4904732022606206,0.2596175576145464,0,12,2,0,0,2,0,0
positive,C13H27O_001,C13H27O,False,True,-0.5619582826743221,0.5700915695776194,0.18482125854823483,0,12,1,0,0,0,0,0
positive,C13H27_001,C13H27,False,True,-0.5192353249968835,0.5949753368327431,0.16404497777374993,0,12,0,0,0,0,0,0
positive,C13H28O2_001,C13H28O2,False,True,-0.615809979990811,0.540203164302512,0.21141313011742274,0,12,1,0,0,1,0,0
positive,C13H28_001,C13H28,False,True,-0.5192353249968835,0.5949753368327431,0.16404497777374993,0,12,0,0,0,0,0,0
positive,C14H27O_001,C14H27O,False,True,-0.5919045118168969,0.5532725665507271,0.19956539979617455,0,13,0,0,1,0,0,0
positive,C14H27_001,C14H27,False,True,-0.5525516291025121,0.5754795250627629,0.18021763364093735,0,12,0,1,0,0,0,0
positive,C14H28O3_001,C14H28O3,False,True,-0.6884791668108243,0.5023394629490243,0.24766601013786554,0,13,1,0,1,1,0,0
positive,C14H28O_001,C14H28O,False,True,-0.5919045118168969,0.5532725665507271,0.19956539979617455,0,13,0,0,1,0,0,0
