source,degeneracy_id,formula,is_ring,used_in_objective,log_P_exist,P_exist,individual_loss,C#C,C-C,C-O,C=C,C=O,O-O,O=O,C#O
positive,C10H19O_001,C10H19O,False,True,-0.41851298714580826,0.6580245836754721,0.11694718537033418,0,9,0,0,1,0,0,0
positive,C10H19_001,C10H19,False,True,-0.3792637006286565,0.6843651213567559,0.09962537661613545,0,8,0,1,0,0,0,0
positive,C10H20O3_001,C10H20O3,False,True,-0.5158300307162036,0.5970048565391325,0.16240508565304518,0,9,1,0,1,1,0,0
positive,C10H20O_001,C10H20O,False,True,-0.41851298714580826,0.6580245836754721,0.11694718537033418,0,9,0,0,1,0,0,0
positive,C10H20O_002,C10H20O,True,True,-0.4751483990745322,0.6217927761455017,0.14304070417572662,0,9,2,0,0,0,0,0
positive,C10H20_001,C10H20,False,True,-0.3792637006286565,0.6843651213567559,0.09962537661613545,0,8,0,1,0,0,0,0
positive,C10H21O2_001,C10H21O2,False,True,-0.4870211840483589,0.6144540161831642,0.14864570563729182,0,9,1,0,0,1,0,0
positive,C10H21O2_002,C10H21O2,False,True,-0.4870211840483589,0.6144540161831642,0.14864570563729182,0,9,1,0,0,1,0,0
positive,C10H21O4_001,C10H21O4,False,True,-0.5843382276187543,0.557474661102084,0.1958286755667154,0,9,2,0,0,2,0,0
positive,C10H21O_001,C10H21O,False,True,-0.43242626977624793,0.648932697323624,0.12324825100846619,0,9,1,0,0,0,0,0
positive,C10H21_001,C10H21,False,True,-0.38970414047796365,0.6772572178567289,0.10416290342557896,0,9,0,0,0,0,0,0
positive,C10H22O2_001,C10H22O2,False,True,-0.4870211840483589,0.6144540161831642,0.14864570563729182,0,9,1,0,0,1,0,0
positive,C10H22_001,C10H22,False,True,-0.38970414047796365,0.6772572178567289,0.10416290342557896,0,9,0,0,0,0,0,0
positive,C11H21O_001,C11H21O,False,True,-0.4618134471989153,0.6301398833378584,0.13679650589733297,0,10,0,0,1,0,0,0
