epoch,mean_species_nll,equivalent_action_accuracy,mean_target_probability,gradient_norm,seconds
1,1.4533716440200806,0.32549601793289185,0.28901514410972595,0.5923954844474792,0.04184137499760254
2,1.4086229801177979,0.46551138162612915,0.2966903746128082,0.4295310974121094,0.03251058399837348
3,1.3823751211166382,0.4519008994102478,0.3019656836986542,0.369943231344223,0.031354250000731554
4,1.3646364212036133,0.4581412971019745,0.30548325181007385,0.33768460154533386,0.030683166998642264
5,1.3522698879241943,0.44793587923049927,0.30980443954467773,0.32567352056503296,0.030416833000344923
6,1.3386081457138062,0.44492125511169434,0.3126778304576874,0.3146838843822479,0.03433791700081201
7,1.3150322437286377,0.48148998618125916,0.3207734227180481,0.3168361783027649,0.031163499999820488
8,1.307563066482544,0.4616967737674713,0.3228490352630615,0.33939501643180847,0.03196254200156545
9,1.293407917022705,0.4609639048576355,0.3277854919433594,0.329150915145874,0.030257291000452824
10,1.291640043258667,0.44675499200820923,0.3290390074253082,0.270870178937912,0.032107166000059806
11,1.267043948173523,0.4465214014053345,0.33658963441848755,0.29849228262901306,0.033457500001532026
12,1.2653709650039673,0.4358134865760803,0.3379479646682739,0.24639655649662018,0.03290533299878007
13,1.2342023849487305,0.5212813019752502,0.35280841588974,0.2703472673892975,0.03185854100229335
14,1.2042012214660645,0.5100038051605225,0.3624635338783264,0.2752736508846283,0.03360474999863072
15,1.2181755304336548,0.48781687021255493,0.3602572977542877,0.20510974526405334,0.03329562499857275
16,1.2307909727096558,0.4591781795024872,0.3614673316478729,0.13803710043430328,0.033340250000037486
17,1.2066094875335693,0.47370392084121704,0.3731842041015625,0.15479879081249237,0.032772208000096725
18,1.2198030948638916,0.4481086730957031,0.3703010082244873,0.13722161948680878,0.03401016599673312
19,1.2131574153900146,0.432091623544693,0.375977098941803,0.15750780701637268,0.03377087500120979
20,1.177079677581787,0.5053603053092957,0.39080387353897095,0.10515379905700684,0.03170654199857381
21,1.1943279504776,0.46155592799186707,0.3851568102836609,0.17414823174476624,0.0341627090019756
22,1.1687631607055664,0.5026593804359436,0.3940826952457428,0.10722631216049194,0.03268633300103829
23,1.191642165184021,0.4883960485458374,0.3861495852470398,0.1568591594696045,0.03382191600030637
24,1.1904311180114746,0.4854678511619568,0.38654887676239014,0.15557020902633667,0.031229750002239598
25,1.1736607551574707,0.513748049736023,0.39023616909980774,0.12683995068073273,0.03318766700249398
26,1.1561503410339355,0.5079556703567505,0.3916293978691101,0.12002550065517426,0.03327920800074935
27,1.1804970502853394,0.4765681028366089,0.37998253107070923,0.2091270387172699,0.03342308299761498
28,1.144966959953308,0.5001407861709595,0.3887919783592224,0.2331797033548355,0.03283870900122565
29,1.1525635719299316,0.5025121569633484,0.3827661871910095,0.21321561932563782,0.034673917001782684
30,1.1491795778274536,0.49703335762023926,0.38406264781951904,0.2141074538230896,0.033831125001597684
31,1.1544675827026367,0.5063171982765198,0.3801673948764801,0.27263450622558594,0.03281533299741568
32,1.1253618001937866,0.514928936958313,0.3939552307128906,0.30748113989830017,0.03446566699858522
33,1.1149299144744873,0.5361815094947815,0.4026007652282715,0.27223992347717285,0.03134579199831933
34,1.1123557090759277,0.5406073927879333,0.4070867598056793,0.15117520093917847,0.03187979200083646
35,1.1244115829467773,0.503773033618927,0.4095301330089569,0.3015158772468567,0.031558332997519756
36,1.1105766296386719,0.5066307783126831,0.4139689803123474,0.2294015884399414,0.03147341599833453
37,1.1305046081542969,0.513898491859436,0.4044124186038971,0.23121590912342072,0.03341500000169617
38,1.1029927730560303,0.522369384765625,0.41539666056632996,0.2322983592748642,0.032612708000669954
39,1.098264455795288,0.533144474029541,0.4143272638320923,0.12809187173843384,0.031017124998470536
40,1.0961618423461914,0.5184332132339478,0.4163613021373749,0.34513217210769653,0.03062016600233619
41,1.093895673751831,0.5267952680587769,0.4156152307987213,0.14884459972381592,0.03205358299965155
42,1.0896451473236084,0.5273265242576599,0.4139222800731659,0.21432320773601532,0.031870500002696645
43,1.069892406463623,0.5263376235961914,0.4282219707965851,0.26464009284973145,0.03147120799985714
44,1.0564792156219482,0.5183083415031433,0.43429118394851685,0.26165324449539185,0.032024874999478925
45,1.0829805135726929,0.5333973169326782,0.4275391101837158,0.35751673579216003,0.032428875001642155
46,1.0747864246368408,0.5251247882843018,0.4216718077659607,0.16955338418483734,0.03186270899823285
47,1.0666154623031616,0.534325361251831,0.42598775029182434,0.28214606642723083,0.03133208399958676
48,1.071427822113037,0.5220525860786438,0.4251759946346283,0.21699289977550507,0.03080312499878346
49,1.0654796361923218,0.5213741660118103,0.43169093132019043,0.33106979727745056,0.03104495799925644
50,1.0673227310180664,0.5470813512802124,0.4269304871559143,0.19108425080776215,0.03144862499902956
51,1.0713189840316772,0.5322612524032593,0.4289611876010895,0.137807697057724,0.031720207996841054
52,1.05442476272583,0.5365719199180603,0.4365611672401428,0.14783397316932678,0.032413125001767185
53,1.0378276109695435,0.5423547029495239,0.440540611743927,0.19350899755954742,0.031797999999980675
54,1.0393105745315552,0.5317908525466919,0.4430452585220337,0.16793730854988098,0.03208579199781525
55,1.0428485870361328,0.5535393953323364,0.4425680339336395,0.1805373579263687,0.03241070800140733
56,1.039492130279541,0.5400377511978149,0.43966931104660034,0.13989204168319702,0.031178042001556605
57,1.0461392402648926,0.5197164416313171,0.4367348849773407,0.16742902994155884,0.031720374998258194
58,1.0550347566604614,0.5158442258834839,0.4335687756538391,0.18434487283229828,0.03265208399898256
59,1.0470473766326904,0.543756365776062,0.43534719944000244,0.18187053501605988,0.03294391600138624
60,1.0255062580108643,0.5235471129417419,0.44726693630218506,0.21767471730709076,0.03178591699906974
61,1.040395736694336,0.5541729927062988,0.4398559331893921,0.1617550551891327,0.03580429199791979
62,1.0219058990478516,0.5438043475151062,0.4477981925010681,0.11824627220630646,0.03211162499792408
63,1.0418384075164795,0.5357015132904053,0.4397604465484619,0.16099058091640472,0.03212320899910992
64,1.0182162523269653,0.5660138130187988,0.45036381483078003,0.1578214168548584,0.035000250001758104
65,1.0132735967636108,0.5330772399902344,0.4526773691177368,0.16684959828853607,0.03204691700011608
66,1.0287177562713623,0.5170602798461914,0.44258105754852295,0.27766358852386475,0.03170654199857381
67,1.015026569366455,0.5447516441345215,0.448042094707489,0.20352375507354736,0.03148929099916131
68,1.0369609594345093,0.5305043458938599,0.4382782280445099,0.18043109774589539,0.03269704199919943
69,1.0233290195465088,0.5382328033447266,0.4478233754634857,0.16233009099960327,0.03490945899829967
70,1.0268042087554932,0.5726126432418823,0.44857463240623474,0.2764858901500702,0.031049874996824656
71,1.0284355878829956,0.568103551864624,0.441994845867157,0.21898411214351654,0.033124917001259746
72,1.0119507312774658,0.5438491702079773,0.4532243013381958,0.1841534674167633,0.0321551669985638
73,1.0138503313064575,0.5724493861198425,0.4545562267303467,0.17510496079921722,0.03154366699891398
74,1.008507251739502,0.6175339221954346,0.4555724859237671,0.1409730762243271,0.03238937499918393
75,1.0241562128067017,0.5746031403541565,0.4489806890487671,0.31864461302757263,0.031609000001481036
76,0.9955661296844482,0.5977886319160461,0.46231743693351746,0.224515900015831,0.03200691700112657
77,1.0127301216125488,0.5855798721313477,0.4528476297855377,0.18306781351566315,0.030678625000291504
78,1.0033186674118042,0.5689420104026794,0.4584681987762451,0.26004931330680847,0.03125020899824449
79,0.9915744066238403,0.5982622504234314,0.460112988948822,0.17896346747875214,0.031214957998599857
